Jobb 07		Jobb 08	
Dev	07:03:05	Physical	08:39:53
Physical	07:36:17	Annat	08:40:00
Dev	07:40:45	Inbox	08:45:01
Oaktivitet	07:56:52	Arch	09:04:00
	07:56:58	Kaffe	10:02:00
Physical	08:08:13	Arch	10:06:01
Annat	08:08:26	Kaffe	10:36:04
Inbox	08:16:03	Arch	10:37:40
Oaktivitet	08:18:00	Kaffe	11:02:57
Dev	08:28:57	Team	11:04:21
Kaffe	09:23:17	Physical	11:35:20
Dev	09:25:00		11:37:24
Kaffe	10:19:12	Physical	12:35:55
Dev	10:21:02	Inbox	12:37:20
Kaffe	11:17:35	Toa	12:56:24
Dev	11:20:50	Kaffe	13:41:59
Toa	11:38:00	Dev	13:43:00
	11:40:32	Kaffe	15:00:03
Physical	12:18:43	Dev	15:02:00
Oaktivitet	12:20:31	Toa	15:19:33
Dev	12:36:11	Annat	15:22:00
Kaffe	13:02:26	Physical	15:30:57
Toa	13:04:00		15:31:44
Dev	13:06:37		
Toa	14:12:08		
Kaffe	14:14:39		
Dev	14:17:12		
Toa	15:33:19		
Kaffe	15:36:01		
Dev	15:37:22		
Annat	16:18:50		
Physical	16:20:21		
	16:21:22		
Kostnad 07		Kostnad 08	
STOD dok (???)	07:03:07	Comp 9462 4623	08:39:55
	07:56:56		11:37:22
Comp 9462 4623	08:08:15	Comp 9462 4623	12:35:56
F. support 9460 2671	08:37:40		15:31:43
DFU 9460 2672	08:50:00		
Comp 9462 4623	09:25:55		
	11:40:31		
Comp 9462 4623	12:18:44		
STOD dok (???)	12:51:08		
	16:21:21		
