#
# Akira, är det anime och japan?
# Vad menar jag med (*)? Jag hade skrivit * framfär positionen tidigare.
#
#kategori:§animerat
#kategori:§astrid
#kategori:§beck
#kategori:§bond
#kategori:§dokumentar
#kategori:§eget
#kategori:§fantasy
#kategori:§fel
#kategori:§halloween
#kategori:§japan
#kategori:§jul
#kategori:§krig
#kategori:§melbrooks
#kategori:§nintendods
#kategori:§ps3
#kategori:§sf
#kategori:§stallone
#kategori:§stephenking
#kategori:§sverige
#kategori:§wallander
#kategori:§western
#kategori:§xbox
#kategori:§zoombie
#
#format:*xvid
#format:*vcd
#format:*scr
#format:*dvd
#
#location: 
#
#language:#spoken/subtitle (en, se, ???)
#
#destinaton:&ms (mediaserver)
#
Göta Kanal 3	    		§wanted
Nikita				§wanted
Starship Troopers II		§wanted
Underworld - Evolution (har xvid)	§wanted
Underworld - Rise of the Lycans	§wanted
Underworld - Awakening	§wanted
#
A1
A2	Ronin	*dvd, §?, #en/se
A3	Schoolgirl Zombies	*xvid, §japan, §zoombie, #jp/?, &ms
A3	Resident Evil	*xvid, §zoombie, #en/?, &ms
A3	Resident Evil 2 - Apocalypse	*xvid, §zoombie, #en/?, &ms
A3	Tetsuo I	*xvid, §japan, #jp/?, &ms
A3	Tetsuo II	*xvid, §japan, #jp/?, &ms
A3	Wallace and Grommit	*xvid	#en/?, &ms
A4	Hide and seek	*dvd, #en/?
A5	Wallander - Innan frosten	*dvd, §wallander, #se/?
A6	Hassel - Botgörarna	*dvd, #se/?, §sverige
A7	A I	*dvd, #en/?, §sf?
A8	Batman Begins	*dvd, #en/?
A9	Tusenbröder S01D01	*dvd, #se/?, §sverige
A10	Tusenbröder S01D02	*dvd, #se/?, §sverige
A11	Tusenbröder S02D01	*dvd, #se/?, §sverige
A12	Tusenbröder S02D02	*dvd, #se/?, §sverige
A13	Sällskapsresan 1	*dvd, #se/?, §sverige, &ms
A14	Sällskapsresan 2 - Snowroller	*dvd, #se/?, §sverige, &ms
A15	Sällskapsresan 3 - S.O.S.	*dvd, #se/?, §sverige, &ms
A16	Sällskapsresan 4 - Den ofrivillige golfaren	*dvd, #se/?, §sverige, &ms
A17	Sällskapsresan 5 - Hälsoresan	*dvd, #se/?, §sverige, &ms
A18	24-timmarsjakten	*dvd, #en/?, §sf
A19	Besökarna	*dvd, #se/?, §sf, §sverige
A20	Hitchhikers guide to the galaxy	*dvd, #en/?, §sf, (*)
A21	Rederiet 1-3	*dvd, #se/?, §sverige
A22	Rederiet 4-5	*dvd, #se/?, §sverige
A23	Rederiet 6-7	*dvd, #se/?, §sverige
A24	Rederiet 8-9	*dvd, #se/?, §sverige
A25	Rederiet 10-11	*dvd, #se/?, §sverige
A26	Rederiet 12-13	*dvd, #se/?, §sverige
A27	Rederiet 14-15	*dvd, #se/?, §sverige
A28	Rederiet 16-17	*dvd, #se/?, §sverige
A29	Rederiet 18	*dvd, #se/?, §sverige
A30	Speed	*dvd, #en/?
A31	Videos	*dvd, #?/?
A32	Sin City 	*dvd, #en/?
A33	Nalle Puh, Kalle Anka, Alladin	*dvd, §animerat, #?/?
A34	Nalle Puh - Heffaklumpen	*dvd, #?/?
A35	Nasses stora film	*dvd, #?/?
A36	Tigers film	*dvd, #?/?
A37	Adams Aebler	*dvd, #dk/?
A38	Dark Water	*dvd, #en/?
A39	Flightplan	*dvd, #en/?
A40	Getaway in Stockholm 4	*dvd, #se/?, §sverige
A41	Sandor slash Ida	*dvd, #se/?, §sverige
A42	Som man bäddar	*dvd, #?/?
A43	Braindead	*dvd, #en/?
A44	Red Eye	*dvd, #en/?
A45	Fem myror är fler än fyra elefanter I	*dvd, #se/?, §sverige
A46	Fem myror är fler än fyra elefanter II	*dvd, #se/?, §sverige
A47	Fem myror är fler än fyra elefanter III	*dvd, #se/?, §sverige
A48
A49	Ghostrider 1	se, *dvd, #se/se, §sverige
A50	Ghostrider 2	se, *dvd, #se/se, §sverige
A51	Ghostrider 3	se, *dvd, #se/se, §sverige
A52	Ghostrider 4	se, *dvd, #se/se, §sverige
A53
A54	Bambi	*dvd, #?/?
A55	Världarnas Krig (1953)	*dvd, #se/?
A56	Världarnas Krig (2005)	*dvd, #se/?
A57	Hitta Nemo	*dvd, #?/?
A58	Mazurka på sängkanten	*dvd, #?/?
A59	Grabben i graven bredvid	*dvd, #?/?
A60	Texas Chainsaw Massacre	*dvd, #en/?, &ms, (*)
A61	Föbojäntan	*dvd, #se/?, §sverige
A62	Descent, The	*dvd, #en/?
A63	Love potion #9	*dvd, #en/?
A64	Dödlig drift	*dvd, #?/?
A65	Beck 08 - Spår i mörker	§beck, *dvd, #se/?
A66	Salo - 120 days of Sodom	*dvd, #?/?
A67	Scooby Doo	*dvd, #?/?
A68	Rambo - First Blood	*dvd, #en/?, §stallone
A69	Toxic Avenger, The	*dvd, #?/?
A70	Såsom i himmelen	*dvd, #se/se, §sverige
A71	Desperate Housewives S01 1/2	*xvid, #en/?
A72	Desperate Housewives S01 2/2	*xvid, #en/?
A73	Från A till Ö 1/4	*dvd, #se/?, §sverige
A74	Från A till Ö 2/4	*dvd, #se/?, §sverige
A75	Från A till Ö 3/4	*dvd, #se/?, §sverige
A76	Från A till Ö 4/4	*dvd, #se/?, §sverige
A77	Lost S01 1/2  *xvid, #en/?
A78	Lost S01 2/2  *xvid, #en/?
A79	Helen of Troy 1/2	*dvd, #en/se
A80	Helen of Troy 2/2	*dvd, #en/se
A81	Mumien	 *dvd, #en/se
A82	Shrek	 *dvd, #en/se
A83	Sprängaren 1/2	*dvd, #se/?, §sverige
A84	Sprängaren 2/2	*dvd, #se/?, §sverige
A85	Klassfesten	*dvd, #se/?, §sverige
A86	Dirty Dancing	*dvd, #en/?
A87	Hundhotellet	*dvd, §animerat, #?/?
A88	Brazil	*dvd, #?/?    §sf
A89	Ebba the movie	*dvd, #se/?, §sverige
A90	G	*dvd, #se/?, §sverige
A91	Scary Movie 1	*dvd, #en/se
A92	Scary Movie 2	*dvd, #en/se
A93	Miffo *dvd, #se/?, §sverige
A94	Eraserhead	*dvd, #en/?, &ms
A95	Tetsuo - The Iron Man	cd, *xvid, §japan, #jp/?, &ms
A96	Tetsuo - Body Hammer	cd, *xvid, §japan, #jp/?, &ms
#
B1	Lilja Forever	#se/se, §sverige
B2	Pelle Svanslös	#?/?
B3	Getaway in Stockholm 1	*xvid, #se/?, §sverige
B3	Getaway in Stockholm 2	*xvid, #se/?, §sverige
B4	Ghostrider 1	*xvid, #se/?, §sverige
B4	Ghostrider 2	*xvid, #se/?, §sverige
B4	Ghostrider 3	*xvid, #se/?, §sverige
B5	Wallace and Grommit	#en/?
B6	Brokeback Mountain	*xvid, #en/-
B6	House of the dead 2	*xvid, §zoombie, #en/?
B6	It's a wonderful life	*xvid, #en/?
B6	Business, The	*xvid, #en/?
B7	Big Mamas House	*xvid, #en/?
B7	Fanny Valentine	*xvid, #en/?
B7	Office Space	*xvid, #en/?
B7	Soloerotica 7	*xvid, #en/?
B8	Aristocats, The	*xvid, #?/?
B8	Narnia	*xvid, #en/?, §fantasy
B8	Texas Chainsaw (1974)	*xvid, #en/?, &ms
B9	In the Mix	*dvd, #en/?
B10	Munich (2005)	*dvd, #en/?
B11	Elizabethtown	*dvd, #en/?
B12	Memento		*dvd, #en/?
#
#
#-------------------
#
#
B13	Matrix D01	*dvd, §sf, #en/se, &ms
B14	Matrix D02	*dvd, §sf, #en/se
B15	Matrix D03	*dvd, §sf, #en/se, &ms
B16	Matrix D04	*dvd, §sf, #en/se
B16	Matrix D05	*dvd, §sf, #en/se, &ms
B17	Matrix D06	*dvd, §sf, #en/se
B18	Matrix D07	*dvd, §sf, #en/se
B19	Matrix D08	*dvd, §sf, #en/se
B20	Matrix D09	*dvd, §sf, #en/se
B21	Matrix D09	*dvd, §sf, #en/se
B22	Matrix D10	*dvd, §sf, #en/se
B23	Populärmusik från Vittula	*dvd, #se/?, §sverige
B24	Chicken Little	*dvd, #?/?
B25	Brokeback Mountain	*dvd, #en/?
B26	Alla älskar Alice	*xvid, #se/?, §sverige
B26	Into the Blue	*xvid, #?/?
B26	Saw 2	*xvid, #en/?, &ms
B26	Stockholm Boogie	*xvid, #?/?, §sverige
B26	Where the truth lies	*xvid, #en/?
B26	Heffa Halloweeen (?)	*xvid, #?/?
B27	The River King	§???japan???, #?/?
B28	Polarexpressen	§jul, #?/?
B29	Dirty Dancing 2	*dvd, #en/?
B30	Getaway in Stockholm 6	*xvid, #se/?, §sverige
B30	Getto fight 2	*xvid, #en/?
B30	Excorcist, The	*xvid, #en/?
B30	Underworld Evolution	*xvid, #en/?, &ms
B30	Spetnaz		*xvid, #?/?
B30	Moon landings	*xvid, #?/?
B31	Derailed	*dvd, #en/?
B32	Pulp Fiction	*dvd, #en/?
B33	Serenity	*dvd, §sf?, #en/?
B34	Alien vs. Predator	*dvd, §sf, #en/?
B35	Commando	*dvd, #en/?
B36	Terminator 3 - Rise of the machines	*dvd, §sf, #en/?, &ms
B37	V 1/7	   *vcd, §sf, #en/?
B38	V 2/7	   *vcd, §sf, #en/?
B39	V 3/7	   *vcd, §sf, #en/?
B40	V 4/7	   *vcd, §sf, #en/?
B41	V 5/7	   *vcd, §sf, #en/?
B42	V 6/7	   *vcd, §sf, #en/?
B43	V 7/7	   *vcd, §sf, #en/?
B44
B45	Det nya landet 1/2	*dvd, #se/?, §sverige
B46	Det nya landet 2/2	*dvd, #se/?, §sverige
B47	Eraserhead	*xvid, #en/?
B47	Saw	*xvid, #en/?, &ms
B47	Saw II	*xvid, #en/?, &ms
B47	Tetsuo - The Iron Man	*xvid, §japan, #jp/?, &ms
B47	Tetsuo II - Body Hammer	*xvid, §japan, #jp/?, &ms
B48	Saw II	*dvd, #en/se, &ms
B49	Mordet på Mathew Shepherd	*dvd, #en/?
B50	Jalla Jalla	 *dvd, #se/?, §sverige
B51	Monster		 *dvd, #en/?
B52	Tillfällig fru sökes	*dvd, #?/?, §sverige?
B53	Interrogation of Michael Crow	*dvd, #en/?
B54	Eraserhead	*xvid, #en/?
B54	Tetsuo - The Iron Man	*xvid, §japan, #jp/?, &ms
B54	Tetsuo II - Body Hammer	*xvid, §japan, #jp/?, &ms
B55	Little Manhattan    *dvd, #en/en
B56	An unfinished life  *dvd, #en/se
B57	Shining, The   *dvd, #en/se:4
B58	A life in pictures	*dvd, #en/se
B59	Eyes wide shut		*dvd, #en/se:3
B60	Full Metal Jacket	*dvd, #en/se:5, §krig
B61	American Pie		*dvd, #en/se
B62
B63	American Wedding	*dvd, #en/se
B64	American Pie band Camp	*dvd, #en/se
B65	Vi hade i alla fall tur med vädret	*dvd, #se/?, §sverige
B66	Att göra en pudel	*dvd, #se/?, §sverige
B67	Rain man 1/2	*dvd, #en/?
B68	Rain man 2/2	*dvd, #en/?
B69	Star Trek 1 - The Movie			*dvd, §sf, #en/se
B70	Star Trek 2 - The Wrath of Khan		*dvd, §sf, #en/se
B71	Star Trek 3  The search for Spock	*dvd, §sf, #en/se
B72	Star Trek 4 - The Voyage Home		*dvd, §sf, #en/se
B73	Star Trek 5 - The Final Frontier		*dvd, §sf, #en/se
B74	Star Trek 6 - The Undiscovered Country	*dvd, §sf, #en/se
B75	Star Trek 7 - Generations      		*dvd, §sf, #en/se
B76	Star Trek 8 - First Contact    		*dvd, §sf, #en/se
B77	Star Trek 9 - Insurrection		*dvd, §sf, #en/se
B78	Hur man blir av med en kille på 10 dagar	*dvd, #en/?
B79	Rederiet S02 1/2    *xvid, #se/?, §sverige
B80	Rederiet S02 2/2    *xvid, #se/?, §sverige
B81	Tusenbröder - Återkomsten	*dvd, #se/?, §sverige
B82	Tarzan och Jane		*dvd, §animerat, #?/?
B83	The Missing 1/2	*dvd, #en/se
